Station,NextStation,TransitionCount,AvgTransit,MedianTransit,P95Transit,MaxTransit,ZeroTransitRate,FailureRate,Confidence
29,30,1118314,0.006493104798831068,0.0,0.0100000000000477,9.069999999999936,55.24172996135254,0.5846300770624351,High
29,31,34,0.009999999999997164,0.0099999999999909,0.019999999999996,0.019999999999996,11.76470588235294,0.0,Low
29,32,29,0.048965517241368064,0.0499999999999545,0.08999999999998633,0.1000000000001364,0.0,6.896551724137931,Low
29,33,1251,0.02495603517186271,0.0199999999999818,0.0399999999999636,3.490000000000009,0.0,0.4796163069544364,High
29,38,1,2.8799999999999955,2.8799999999999955,2.8799999999999955,2.8799999999999955,0.0,0.0,Low
30,31,38969,0.00534065539274812,0.0,0.0100000000000193,0.2399999999999806,51.38699992301573,0.27201108573481486,High
30,32,23301,0.09489807304407454,0.0499999999999545,0.25,22.920000000000073,0.008583322604180078,4.600660915840522,High
30,33,1057532,0.020111703475639515,0.0099999999999909,0.0300000000000011,14.099999999999907,3.935767428314226,0.5080697321688611,High
30,34,2,1.7599999999999807,1.7599999999999807,3.307999999999963,3.4799999999999613,0.0,0.0,Low
30,35,2,3.9150000000000205,3.9150000000000205,4.333499999999998,4.3799999999999955,0.0,0.0,Low
30,36,5,2.3299999999999956,3.410000000000082,4.083999999999923,4.089999999999918,0.0,0.0,Low
31,32,1204,0.08882890365448473,0.039999999999992,0.2100000000000079,7.02000000000001,0.41528239202657813,2.6578073089700998,High
31,33,37799,0.017325590624090535,0.0100000000000051,0.0200000000000102,4.440000000000001,14.955422101113786,0.19577237493055372,High
32,33,17976,0.05939753004005309,0.0099999999999909,0.0799999999999272,11.910000000000082,31.725634178905203,0.511793502447708,High
32,34,1965,0.01743002544529087,0.0099999999999909,0.0400000000000062,5.649999999999977,29.21119592875318,9.007633587786259,High
32,35,2040,0.01171568627451111,0.0099999999999909,0.0300000000000011,1.9300000000000637,32.69607843137255,18.676470588235293,High
32,36,2380,0.018638655462185866,0.0099999999999909,0.03999999999999271,4.1099999999999,17.73109243697479,19.15966386554622,High
32,37,182,0.012307692307693288,0.0099999999999909,0.0299999999999727,0.25,48.9010989010989,0.0,Medium
33,34,1113150,0.0024303463145128813,0.0,0.0099999999999909,3.8800000000000026,77.15312401742803,0.49777657997574454,High
33,35,772,0.014093264248703156,0.0099999999999909,0.0100000000000051,3.42999999999995,47.020725388601036,0.2590673575129534,High
33,36,773,0.009366106080204956,0.0099999999999909,0.0199999999999818,0.8000000000000114,32.988357050452784,0.38809831824062097,High
34,35,549289,0.0033824817172745233,0.0,0.009999999999998,7.259999999999991,70.2661076409686,0.5086575554944666,High
34,36,565803,0.0062007978041826554,0.0,0.0100000000001045,5.009999999999991,50.05629167749199,0.5164341652483284,High
34,37,20,1.0644999999999905,0.0399999999999636,3.4499999999999886,3.4499999999999886,10.0,10.0,Low
35,36,61,0.061147540983605954,0.0399999999999636,0.1099999999999994,0.9700000000000272,0.0,16.39344262295082,Low
35,37,551560,0.0027585031546884815,0.0,0.009999999999998,4.4599999999999795,78.22612227137573,0.5740082674595692,High
35,38,18,14.835555555555551,8.370000000000005,40.51849999999996,61.58999999999992,0.0,0.0,Low
36,37,568630,0.0016516891476003816,0.0,0.0099999999999909,4.109999999999999,85.93109755025236,0.5958180187468125,High
36,38,7,11.41,9.039999999999964,29.90600000000002,36.14000000000004,0.0,0.0,Low
37,38,25241,14.373432510597837,7.519999999999982,49.61000000000013,211.66000000000008,0.0,0.7963234420189375,High
39,40,59875,0.0034678914405010235,0.0,0.0099999999999909,0.5900000000000318,70.30146137787057,0.506054279749478,High
39,41,33,0.0036363636363607576,0.0,0.0099999999999909,0.0100000000000051,63.63636363636363,0.0,Low
40,41,59880,0.0015138610554442677,0.0,0.0099999999999909,0.3899999999999999,87.1442885771543,0.5076820307281229,High
40,43,12,0.004166666666681817,0.0,0.010000000000093184,0.0100000000002182,58.333333333333336,0.0,Low
40,44,22,0.00499999999999545,0.0,0.0099999999999909,0.0499999999999545,68.18181818181817,0.0,Low
41,42,15,0.011333333333341019,0.0099999999999909,0.038000000000053456,0.0800000000001546,40.0,0.0,Low
41,43,30521,0.008415844828150974,0.0,0.0100000000002182,9.360000000000014,62.57986304511648,0.5209527866059435,High
41,44,29373,0.006112756613216145,0.0,0.0100000000000477,5.4500000000000455,63.4528308310353,0.49365063153235966,High
41,45,4,0.01250000000004545,0.0099999999999909,0.01850000000017637,0.0200000000002091,0.0,0.0,Low
42,43,10,0.10900000000001156,0.01499999999998635,0.4830000000000013,0.7799999999999999,10.0,0.0,Low
42,44,5,0.03399999999998612,0.0199999999999818,0.07999999999999544,0.0900000000000034,0.0,0.0,Low
43,44,401,0.06396508728178964,0.0400000000001909,0.1399999999999863,0.7999999999999999,1.4962593516209477,0.24937655860349126,Medium
43,45,30139,0.0031009655263940505,0.0,0.0099999999999909,0.3999999999999999,72.95530707720893,0.5242376986628621,High
43,47,11,0.015454545454541719,0.0099999999999909,0.0299999999999727,0.0299999999999727,0.0,0.0,Low
44,45,29789,0.0031149081875858358,0.0,0.0099999999999909,0.3999999999999999,72.83896740407533,0.49011380039611935,High
44,47,15,0.09999999999999758,0.0099999999999909,0.6330000000000954,0.7100000000000001,0.0,0.0,Low
45,46,1,2.019999999999982,2.019999999999982,2.019999999999982,2.019999999999982,0.0,0.0,Low
45,47,59893,0.01948357904930426,0.0099999999999909,0.0299999999999727,100.56,10.84934800394036,0.5075718364416543,High
45,48,38,0.01605263157893762,0.0099999999999909,0.0399999999999636,0.0500000000000682,2.631578947368421,0.0,Low
46,47,1,0.0,0.0,0.0,0.0,100.0,0.0,Low
47,48,59885,0.0022588294230607053,0.0,0.0099999999999909,0.62,80.11021123820656,0.5059697754028555,High
47,49,36,0.005277777777774553,0.0,0.012500000000009925,0.0200000000000102,52.77777777777778,0.0,Low
47,50,34,0.006764705882355138,0.0099999999999909,0.013500000000064374,0.0200000000000954,38.23529411764706,2.941176470588235,Low
48,49,29637,0.0033839457434963276,0.0,0.0099999999999909,0.37,71.23190606336674,0.516246583662314,High
48,50,30282,0.00506307377319866,0.0,0.0100000000000477,0.6100000000000136,58.26893864341854,0.49534376857539136,High
48,51,4,0.007499999999993175,0.0099999999999909,0.0099999999999909,0.0099999999999909,25.0,0.0,Low
49,50,43,0.03093023255814179,0.0299999999999727,0.07799999999994037,0.1000000000000227,0.0,16.27906976744186,Low
49,51,29512,0.0023309162374628703,0.0,0.0099999999999909,0.900000000000091,81.5126050420168,0.4879371103280022,High
50,51,30337,0.0015743151926690458,0.0,0.0099999999999909,0.900000000000091,87.57622704947754,0.5208161650789465,High
